No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,season,CO/10
1,2013,3,1,0,4.0,4.0,14.0,20.0,300.0,69.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Guanyuan,Musim Gugur,30.0
2,2013,3,1,1,4.0,4.0,13.0,17.0,300.0,72.0,-1.1,1023.2,-18.2,0.0,N,4.7,Guanyuan,Musim Gugur,30.0
3,2013,3,1,2,3.0,3.0,10.0,19.0,300.0,69.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Guanyuan,Musim Gugur,30.0
4,2013,3,1,3,3.0,6.0,7.0,24.0,400.0,62.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Guanyuan,Musim Gugur,40.0
5,2013,3,1,4,3.0,6.0,5.0,14.0,400.0,71.0,-2.0,1025.2,-19.5,0.0,N,2.0,Guanyuan,Musim Gugur,40.0
6,2013,3,1,5,3.0,6.0,6.0,14.0,400.0,71.0,-2.2,1025.6,-19.6,0.0,N,3.7,Guanyuan,Musim Gugur,40.0
7,2013,3,1,6,6.0,6.0,6.0,20.0,400.0,66.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Guanyuan,Musim Gugur,40.0
8,2013,3,1,7,3.0,3.0,7.0,26.0,400.0,61.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Guanyuan,Musim Gugur,40.0
9,2013,3,1,8,3.0,6.0,9.0,37.0,500.0,50.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Guanyuan,Musim Gugur,50.0
10,2013,3,1,9,7.0,11.0,9.0,30.0,400.0,58.0,1.2,1028.5,-19.3,0.0,N,2.6,Guanyuan,Musim Gugur,40.0
11,2013,3,1,10,3.0,8.0,11.0,26.0,400.0,65.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Guanyuan,Musim Gugur,40.0
12,2013,3,1,11,3.0,6.0,8.0,23.0,300.0,70.0,2.9,1028.2,-20.5,0.0,N,3.7,Guanyuan,Musim Gugur,30.0
13,2013,3,1,12,7.0,14.0,6.0,23.0,300.0,73.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Guanyuan,Musim Gugur,30.0
14,2013,3,1,13,12.0,14.0,4.0,20.0,300.0,78.0,5.3,1026.2,-19.3,0.0,NW,4.3,Guanyuan,Musim Gugur,30.0
15,2013,3,1,14,14.0,16.0,4.0,21.0,300.0,79.0,6.0,1025.9,-19.6,0.0,NW,4.4,Guanyuan,Musim Gugur,30.0
16,2013,3,1,15,12.0,21.0,3.0,21.0,300.0,79.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Guanyuan,Musim Gugur,30.0
17,2013,3,1,16,13.0,22.0,5.0,21.0,300.0,78.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Guanyuan,Musim Gugur,30.0
18,2013,3,1,17,9.0,28.0,6.0,27.0,400.0,70.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Guanyuan,Musim Gugur,40.0
19,2013,3,1,18,10.0,21.0,8.0,35.0,500.0,61.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Guanyuan,Musim Gugur,50.0
20,2013,3,1,19,13.0,17.0,3.0,43.0,500.0,52.0,2.3,1028.3,-18.4,0.0,N,2.8,Guanyuan,Musim Gugur,50.0
21,2013,3,1,20,12.0,14.0,14.0,41.0,500.0,52.0,1.7,1029.1,-17.3,0.0,N,2.1,Guanyuan,Musim Gugur,50.0
22,2013,3,1,21,11.0,14.0,24.0,51.0,500.0,42.0,0.6,1030.1,-16.7,0.0,ENE,0.8,Guanyuan,Musim Gugur,50.0
23,2013,3,1,22,10.0,15.0,11.0,60.0,600.0,31.0,0.9,1030.5,-17.4,0.0,ENE,1.8,Guanyuan,Musim Gugur,60.0
24,2013,3,1,23,13.0,15.0,11.0,51.0,600.0,37.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,Guanyuan,Musim Gugur,60.0
25,2013,3,2,0,6.0,15.0,16.0,44.0,500.0,46.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,Guanyuan,Musim Gugur,50.0
26,2013,3,2,1,3.0,8.0,14.0,33.0,400.0,57.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,Guanyuan,Musim Gugur,40.0
27,2013,3,2,2,4.0,6.0,2.0,26.0,400.0,62.0,-1.5,1030.9,-16.9,0.0,E,1.7,Guanyuan,Musim Gugur,40.0
28,2013,3,2,3,3.0,6.0,12.0,32.0,400.0,79.0,-1.4,1030.6,-17.6,0.0,NNE,1.4,Guanyuan,Musim Gugur,40.0
29,2013,3,2,4,3.0,6.0,9.0,28.0,400.0,51.0,-1.5,1030.8,-17.7,0.0,NNW,0.9,Guanyuan,Musim Gugur,40.0
30,2013,3,2,5,3.0,6.0,15.0,59.0,500.0,32.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,Guanyuan,Musim Gugur,50.0
31,2013,3,2,6,3.0,6.0,13.0,59.0,500.0,30.0,-2.5,1029.6,-17.7,0.0,NW,0.7,Guanyuan,Musim Gugur,50.0
32,2013,3,2,7,3.0,6.0,27.0,72.0,600.0,17.0,-1.7,1029.8,-17.0,0.0,NE,1.2,Guanyuan,Musim Gugur,60.0
33,2013,3,2,8,3.0,6.0,27.0,70.0,600.0,21.0,-0.4,1029.6,-17.6,0.0,NE,1.8,Guanyuan,Musim Gugur,60.0
34,2013,3,2,9,3.0,8.0,10.0,42.0,400.0,49.0,0.6,1029.7,-16.7,0.0,NE,1.7,Guanyuan,Musim Gugur,40.0
35,2013,3,2,10,3.0,6.0,14.0,48.0,500.0,44.0,1.7,1028.9,-16.3,0.0,W,1.6,Guanyuan,Musim Gugur,50.0
36,2013,3,2,11,3.0,11.0,17.0,62.0,700.0,32.0,2.2,1028.2,-16.8,0.0,SSW,3.1,Guanyuan,Musim Gugur,70.0
37,2013,3,2,12,14.0,18.0,18.0,68.0,800.0,30.0,2.7,1027.3,-16.4,0.0,WSW,2.7,Guanyuan,Musim Gugur,80.0
38,2013,3,2,13,21.0,25.0,15.0,51.0,600.0,47.0,3.3,1025.7,-16.4,0.0,W,1.5,Guanyuan,Musim Gugur,60.0
39,2013,3,2,14,28.0,32.0,16.0,45.0,700.0,54.0,3.8,1024.8,-16.0,0.0,SE,1.3,Guanyuan,Musim Gugur,70.0
